,BR2,BTH,CFW,DHW,GNP,GNT,KAY,GSW,PDK,RDG,SFK,SKO,TBF,WAK,WHE
0,0.003883052,0.0035,0,0.0061,0.008566533,0.000342466,0.000445205,0.033333333,0.00132337,0.002842498,0.001471101,0.0082,0.000570776,0.000913138,0.0007
1,0.021927821,0.0098,0,0.0166,0.023986294,0.006849315,0.00739726,0.033333333,0.010883578,0.022477426,0.012097867,0.0613,0.010045662,0.008788951,0.0082
2,0.043855642,0.0221,0,0.0329,0.043289549,0.02043379,0.021723744,0.033333333,0.026296275,0.0434594,0.042158647,0.0811,0.028995434,0.022828444,0.0242
3,0.065326633,0.041,0.011881188,0.057,0.063620788,0.03847032,0.04033105,0.033333333,0.044777822,0.061576045,0.090492044,0.0964,0.052739726,0.040748773,0.0453
4,0.083714025,0.0561,0.029372937,0.0694,0.082467162,0.058561644,0.060730594,0.033333333,0.064012321,0.075799952,0.107254849,0.1005,0.077511416,0.060723662,0.062
5,0.096962083,0.0702,0.051815182,0.0833,0.09731582,0.078082192,0.080251142,0.033333333,0.081581199,0.085537506,0.112887616,0.099,0.099429224,0.079899555,0.0816
6,0.103928735,0.0806,0.086138614,0.0902,0.106225014,0.094520548,0.096244292,0.033333333,0.095328276,0.09057181,0.109248577,0.0945,0.114611872,0.095765324,0.0989
7,0.104385564,0.0883,0.097029703,0.0951,0.108166762,0.105593607,0.10652968,0.033333333,0.103530888,0.091131177,0.095757036,0.0898,0.120890411,0.106152266,0.1099
8,0.099017816,0.0918,0.101320132,0.0946,0.103255283,0.109589041,0.109748858,0.033333333,0.105322001,0.087809222,0.083581743,0.0755,0.117351598,0.109576532,0.1074
9,0.088853358,0.0907,0.116171617,0.0898,0.092632781,0.106392694,0.105707763,0.033333333,0.100781473,0.081416455,0.070632186,0.0581,0.105251142,0.105695697,0.0993
10,0.075947921,0.0917,0.145214521,0.083,0.078241005,0.096803653,0.095422374,0.033333333,0.090890423,0.072877544,0.063199257,0.0456,0.087328767,0.095651181,0.0894
11,0.061786204,0.0887,0.140594059,0.0706,0.062135922,0.082534247,0.080787671,0.033333333,0.077348697,0.063117159,0.054992064,0.0357,0.067123288,0.080926835,0.0715
12,0.047852901,0.0779,0.114191419,0.0568,0.046487721,0.065981735,0.06413242,0.033333333,0.062129941,0.053002888,0.043165189,0.0313,0.047716895,0.064147928,0.0566
13,0.035290087,0.062,0.061386139,0.0449,0.032667047,0.049429224,0.047716895,0.033333333,0.047082311,0.043208256,0.034532151,0.0257,0.031278539,0.047597306,0.0441
14,0.024897213,0.0454,0.037623762,0.0344,0.021587664,0.034589041,0.033230594,0.033333333,0.033654669,0.034212719,0.027389571,0.0213,0.018949772,0.032987102,0.0361
15,0.016788488,0.0306,0.004290429,0.0246,0.013363792,0.02260274,0.021643836,0.033333333,0.022657008,0.026358748,0.018698463,0.017,0.010616438,0.021230453,0.0266
16,0.010849703,0.0201,0.001980198,0.0182,0.00776699,0.013812785,0.0131621,0.033333333,0.014363128,0.0197605,0.012659208,0.0132,0.005365297,0.012669787,0.0171
17,0.006624029,0.0126,0.000330033,0.0126,0.004226156,0.007876712,0.007454338,0.033333333,0.008556272,0.014417973,0.007297433,0.0099,0.002511416,0.007076818,0.0098
18,0.003883052,0.007,0.000660066,0.0083,0.002170188,0.004109589,0.003938356,0.033333333,0.004791512,0.010251259,0.004781077,0.0075,0.001141553,0.003652551,0.0053
19,0.002169941,0.0034,0,0.0053,0.001027984,0.002054795,0.001929224,0.033333333,0.00250984,0.007111953,0.002922845,0.0062,0.000456621,0.001712133,0.0032
20,0.001142074,0.0025,0,0.003,0.000456882,0.000913242,0.000878995,0.033333333,0.001232103,0.004794575,0.002071155,0.0058,0.000114155,0.000798996,0.0017
21,0.000571037,0.0016,0,0.0016,0.000228441,0.000342466,0.000365297,0.033333333,0.000570418,0.003162137,0.001354961,0.005,0,0.000342427,0.0009
22,0.000228415,0.001,0,0.0006,0.00011422,0.000114155,0.000148402,0.033333333,0.000239576,0.002031987,0.000638767,0.0038,0,0.000114142,0.0002
23,0.000114207,0.0008,0,0.0004,0,0,5.71E-05,0.033333333,9.13E-05,0.001267138,0.000309705,0.0028,0,0,0.0001
24,0,0.0004,0,0.0004,0,0,2.28E-05,0.033333333,3.42E-05,0.000776265,0.000212922,0.0022,0,0,0
25,0,0.0001,0,0.0001,0,0,0,0.033333333,1.14E-05,0.000468042,7.74E-05,0.0014,0,0,0
26,0,0,0,0.0001,0,0,0,0.033333333,0,0.00026256,0.00011614,0.0008,0,0,0
27,0,0,0,0,0,0,0,0.033333333,0,0.000159819,0,0.0004,0,0,0
28,0,0,0,0,0,0,0,0.033333333,0,7.99E-05,0,0.0003,0,0,0
29,0,0,0,0,0,0,0,0.033333333,0,4.57E-05,0,0.0001,0,0,0
30,0,0,0,0,0,0,0,0.033333333,0,1.14E-05,0,0,0,0,0
