,BR2_GE_2_72_116,BR2_GE_2_82_127,BTH,CFW,DHW_GE_2_3_116,DHW_GE_2_82_127,GNP,GNT,GSW_V150_4_3,GSW_V110_2_2,KAY,PDK,RDG_G132_3_47,RDG_S108_2_42,SFK_mkA,SFK,SKO,TBF,WAK,WHE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2.5,15,23,0,0,0,0,8,8,0,0,10,0,18,16,0,0,7,16,0,0
3,74,94,0,27,0,7,31,31,73,33,31,19,35,31,12,15,86,31,2,42
3.5,134,166,52,87,55,88,75,75,158,83,73,68,98,82,46,51,166,82,47,115
4,221,270,121,162,129,174,133,133,264,145,133,127,161,133,95,102,294,132,97,205
4.5,309,374,202,252,217,277,199,199,395,220,198,198,288,205,156,164,422,204,158,313
5,432,520,297,361,322,398,279,279,557,309,278,287,415,277,226,236,594,277,238,444
5.5,556,667,414,493,447,543,383,383,755,416,382,396,600,391,308,320,766,392,337,602
6,725,867,545,651,590,712,510,510,993,530,508,527,784,505,386,404,1003,506,449,794
6.5,893,1067,699,838,759,912,660,660,1274,688,657,683,1030,664,506,526,1240,666,579,1020
7,1101,1321,874,1056,953,1142,833,833,1604,870,831,866,1277,824,643,668,1551,826,724,1284
7.5,1334,1575,1077,1305,1176,1405,1032,1032,1978,1076,1031,1075,1600,1035,798,828,1862,1038,896,1586
8,1583,1847,1307,1592,1427,1691,1259,1259,2396,1302,1256,1312,1922,1246,973,1010,2236,1250,1092,1926
8.5,1836,2118,1553,1909,1687,1979,1513,1513,2854,1536,1513,1579,2286,1506,1171,1213,2609,1505,1307,2302
9,2069,2329,1791,2256,1928,2254,1772,1772,3302,1762,1769,1870,2650,1765,1386,1433,2943,1760,1492,2686
9.5,2301,2539,2014,2627,2137,2501,2008,2008,3690,1954,2011,2177,2928,1992,1606,1652,3277,1966,1627,3033
10,2442,2649,2167,2982,2257,2676,2182,2182,4000,2085,2181,2489,3205,2218,1801,1835,3452,2173,1693,3292
10.5,2582,2758,2258,3251,2300,2768,2265,2265,4182,2155,2255,2777,3330,2300,1921,1939,3627,2248,1712,3412
11,2641,2788,2300,3392,2300,2811,2290,2290,4272,2185,2290,2999,3456,2383,1973,1980,3662,2323,1715,3445
11.5,2700,2817,2300,3439,2300,2820,2298,2298,4295,2195,2297,3153,3492,2398,1992,1994,3697,2346,1715,3450
12,2710,2819,2300,3448,2300,2820,2300,2300,4300,2200,2300,3240,3529,2412,1998,1999,3698,2370,1715,3450
12.5,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3279,3538,2414,2000,2000,3700,2388,1715,3450
13,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3293,3546,2415,2000,2000,3700,2406,1715,3450
13.5,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3297,3548,2415,2000,2000,3700,2410,1715,3450
14,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3299,3549,2415,2000,2000,3700,2415,1715,3450
14.5,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3300,3550,2415,2000,2000,3700,2415,1715,3450
15,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3300,3550,2415,2000,2000,3700,2415,1715,3450
15.5,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3300,3550,2415,2000,2000,3700,2415,1715,3450
16,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3300,3550,2415,2000,2000,3700,2415,1715,3450
16.5,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3300,3549,2415,2000,2000,3700,2415,1715,3450
17,2720,2820,2300,3450,2300,2820,2300,2300,4300,2200,2300,3300,3548,2415,2000,2000,3700,2415,1715,3450
17.5,2720,2820,2300,3450,2300,2820,2300,2300,4296,2200,2300,3300,3543,2415,2000,2000,3700,2376,1715,3450
18,2720,2820,2300,3450,2300,2820,2300,2300,4230,2200,2300,3300,3538,2415,2000,2000,3700,2338,1715,3450
18.5,2720,2820,2300,3450,2300,2820,2300,2300,4102,2200,2300,3300,3520,2415,2000,2000,3700,2319,1715,3450
19,2720,2820,2300,3450,2300,2820,2300,2300,4002,2200,2300,3300,3501,2415,2000,2000,3675,2300,1715,3450
19.5,2720,2820,0,0,2300,2820,0,0,3895,2200,0,0,3460,2415,0,0,3650,0,0,3450
20,2720,2820,0,0,2300,2820,0,0,3770,2200,0,0,3418,2415,0,0,3484,0,0,3445
20.5,2720,2820,0,0,2300,2820,0,0,3607,0,0,0,3348,2415,0,0,3317,0,0,3399
21,2720,2820,0,0,2300,2820,0,0,3408,0,0,0,3278,2415,0,0,3067,0,0,3249
21.5,2720,2820,0,0,2300,2820,0,0,3180,0,0,0,3186,2415,0,0,2817,0,0,3027
22,2720,2010,0,0,2300,2820,0,0,2917,0,0,0,3095,2415,0,0,2572,0,0,2781
22.5,2720,1200,0,0,1200,1200,0,0,2645,0,0,0,2996,2415,0,0,2327,0,0,2528
23,2720,1200,0,0,1200,1200,0,0,2363,0,0,0,2896,2415,0,0,2084,0,0,2292
23.5,2720,1200,0,0,0,0,0,0,2070,0,0,0,2804,2415,0,0,1842,0,0,2049
24,2720,1200,0,0,0,0,0,0,1782,0,0,0,2711,2415,0,0,1617,0,0,1823
24.5,2720,1200,0,0,0,0,0,0,1561,0,0,0,2636,2415,0,0,1392,0,0,1601
25,1960,1200,0,0,0,0,0,0,0,0,0,0,2562,2415,0,0,1250,0,0,1381
25.5,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,1229
26,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,0,0,1106
26.5,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,1057
27,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,1035
27.5,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.5,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.5,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
